CATEGORÍA,SUBCATEGORÍA,ESTÁ EN PRO???,TÍTULO / HIPERVÍNCULO,URL ANTIGUA,URL NUEVA,IDIOMA,AUTOR,TRADUCCIÓN,URL CONTENIDO  INGLÉS
DESARROLLO,,,Manual sobre instalación y uso de drush release-patch para generación de paquetes entregables,https://www.ladrupalera.com/drupal/desarrollo/instalacion/manual-sobre-instalacion-y-uso-de-drush-release-patch-para-generacion,https://www.ladrupalera.com/es/drupal/desarrollo/instalacion/manual-sobre-instalacion-y-uso-de-drush-release-patch-para-generacion,,,,
DESARROLLO,,,Manual de integración de Grunt con Drupal,https://www.ladrupalera.com/drupal/desarrollo/javascript/manual-de-integracion-de-grunt-con-drupal,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/manual-de-integracion-de-grunt-con-drupal,,,,
DESARROLLO,,,Reutilización masiva de campos con Field tools,https://www.ladrupalera.com/drupal/desarrollo/modulos/reutilizacion-masiva-de-campos-con-field-tools,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/reutilizacion-masiva-de-campos-con-field-tools,,,,
DESARROLLO,,,6 módulos Drupal que harán que ahorres mucho tiempo,https://www.ladrupalera.com/drupal/desarrollo/modulos/6-modulos-drupal-que-haran-que-ahorres-mucho-tiempo,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/6-modulos-drupal-que-haran-que-ahorres-mucho-tiempo,,,,
DESARROLLO,,,"Desplegando código con Jenkins, Phing, Coder y PHPUnit (Parte III)",https://www.ladrupalera.com/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-iii,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-iii,,,,
DESARROLLO,,,"Desplegando código con Jenkins, Phing, Coder y PHPUnit (Parte II)",https://www.ladrupalera.com/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-ii,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-ii,,,,
DESARROLLO,,,6 módulos Drupal imprescindibles para tu web,https://www.ladrupalera.com/drupal/desarrollo/modulos/6-modulos-drupal-imprescindibles-para-tu-web,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/6-modulos-drupal-imprescindibles-para-tu-web,,,,
DESARROLLO,,,"Desplegando código con Jenkins, Phing, Coder y PHPUnit (Parte I)",https://www.ladrupalera.com/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-i,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/desplegando-codigo-con-jenkins-phing-coder-y-phpunit-parte-i,,,,
DESARROLLO,,,Crear operación en masa personalizada,https://www.ladrupalera.com/drupal/desarrollo/views/crear-operacion-en-masa-personalizada,https://www.ladrupalera.com/es/drupal/desarrollo/views/crear-operacion-en-masa-personalizada,,,,
DESARROLLO,,,Resetear password del admin en Drupal 8,https://www.ladrupalera.com/drupal/desarrollo/drupal8/resetear-password-del-admin-en-drupal-8,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/resetear-password-del-admin-en-drupal-8,,,,
DESARROLLO,,,Crear un módulo en Drupal 8,https://www.ladrupalera.com/drupal/desarrollo/drupal8/crear-un-modulo-en-drupal-8,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/crear-un-modulo-en-drupal-8,,,,
DESARROLLO,,,Migrando nuestro perfil de instalación a Drupal 8,https://www.ladrupalera.com/drupal/desarrollo/distribuciones-y-profiles/migrando-nuestro-perfil-de-instalacion-drupal-8,https://www.ladrupalera.com/es/drupal/desarrollo/distribuciones-y-profiles/migrando-nuestro-perfil-de-instalacion-drupal-8,,,,
DESARROLLO,,,Twig: Cómo usar el motor de plantillas de Drupal 8 y Symfony2,https://www.ladrupalera.com/drupal/desarrollo/drupal8/twig-como-usar-el-motor-de-plantillas-de-drupal-8-y-symfony2,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/twig-como-usar-el-motor-de-plantillas-de-drupal-8-y-symfony2,,,,
DESARROLLO,,,Debug scripts Drupal con PhpStorm,https://www.ladrupalera.com/drupal/desarrollo/modulos/debug-scripts-drupal-con-phpstorm,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/debug-scripts-drupal-con-phpstorm,,,,
DESARROLLO,,,Eventos ajax en elementos de página distintos de formulario,https://www.ladrupalera.com/drupal/desarrollo/drupal7/eventos-ajax-en-elementos-de-pagina-distintos-de-formulario,https://www.ladrupalera.com/es/drupal/desarrollo/drupal7/eventos-ajax-en-elementos-de-pagina-distintos-de-formulario,,,,
DESARROLLO,,,Integración Single Sign-On (SSO) para Drupal,https://www.ladrupalera.com/drupal/desarrollo/modulos/integracion-single-sign-sso-para-drupal,https://www.ladrupalera.com/es/drupal/desarrollo/modulos/integracion-single-sign-sso-para-drupal,,,,
DESARROLLO,,,Depuración remota con Xdebug de un proyecto PHP/Drupal,https://www.ladrupalera.com/drupal/desarrollo/instalacion/depuracion-remota-con-xdebug-de-un-proyecto-phpdrupal,https://www.ladrupalera.com/es/drupal/desarrollo/instalacion/depuracion-remota-con-xdebug-de-un-proyecto-phpdrupal,,,,
DESARROLLO,,,YAML: Ficheros de configuración en Drupal 8,https://www.ladrupalera.com/drupal/desarrollo/drupal8/yaml-ficheros-de-configuracion-en-drupal-8,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/yaml-ficheros-de-configuracion-en-drupal-8,,,,
DESARROLLO,,,Políticas de seguridad en Drupal,https://www.ladrupalera.com/drupal/desarrollo/seguridad/politicas-de-seguridad-en-drupal,https://www.ladrupalera.com/es/drupal/desarrollo/seguridad/politicas-de-seguridad-en-drupal,,,,
DESARROLLO,,,Arquitectura de Drupal 8 tras su integración con Symfony2,https://www.ladrupalera.com/drupal/desarrollo/drupal8/arquitectura-de-drupal-8-tras-su-integracion-con-symfony2,https://www.ladrupalera.com/es/drupal/desarrollo/drupal8/arquitectura-de-drupal-8-tras-su-integracion-con-symfony2,,,,
DESARROLLO,,,Debug en Javascript,https://www.ladrupalera.com/drupal/desarrollo/javascript/debug-en-javascript,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/debug-en-javascript,,,,
DESARROLLO,,,Cómo usar una API de Google con autenticación a través de OAuth2,https://www.ladrupalera.com/drupal/desarrollo/javascript/como-usar-una-api-de-google-con-autenticacion-traves-de-oauth2,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/como-usar-una-api-de-google-con-autenticacion-traves-de-oauth2,,,,
DESARROLLO,,,Render API en Drupal 7,https://www.ladrupalera.com/drupal/desarrollo/theme/render-api-en-drupal-7,https://www.ladrupalera.com/es/drupal/desarrollo/theme/render-api-en-drupal-7,,,,
DESARROLLO,,,Publicación de tweets a la vez que se crea contenido en Drupal,https://www.ladrupalera.com/drupal/desarrollo/drupal7/publicacion-de-tweets-la-vez-que-se-crea-contenido-en-drupal,https://www.ladrupalera.com/es/drupal/desarrollo/drupal7/publicacion-de-tweets-la-vez-que-se-crea-contenido-en-drupal,,,,
DESARROLLO,,,CSS Transitions,https://www.ladrupalera.com/drupal/desarrollo/css-html/css-transitions,https://www.ladrupalera.com/es/drupal/desarrollo/css-html/css-transitions,,,,
DESARROLLO,,,¿Todavía no conoces Sass?,https://www.ladrupalera.com/drupal/desarrollo/css-html/todavia-no-conoces-sass,https://www.ladrupalera.com/es/drupal/desarrollo/css-html/todavia-no-conoces-sass,,,,
DESARROLLO,,,Tutorial sobre Masonry,https://www.ladrupalera.com/drupal/desarrollo/javascript/tutorial-sobre-masonry,https://www.ladrupalera.com/es/drupal/desarrollo/javascript/tutorial-sobre-masonry,,,,
